Family	FamilyID
Myxinidae	1
Petromyzontidae	2
Geotriidae	3
Mordaciidae	4
Callorhinchidae	5
Rhinochimaeridae	6
Chimaeridae	7
Heterodontidae	8
Parascylliidae	9
Brachaeluridae	10
Orectolobidae	11
Hemiscylliidae	12
Ginglymostomatidae	13
Stegostomatidae	14
Rhincodontidae	15
Mitsukurinidae	16
Odontaspididae	17
Pseudocarchariidae	18
Alopiidae	19
Megachasmidae	20
Cetorhinidae	21
Lamnidae	22
Scyliorhinidae	23
Proscylliidae	24
Pseudotriakidae	25
Leptochariidae	26
Triakidae	27
Hemigaleidae	28
Carcharhinidae	29
Sphyrnidae	30
Chlamydoselachidae	31
Hexanchidae	32
Centrophoridae	33
Etmopteridae	34
Somniosidae	35
Oxynotidae	36
Dalatiidae	37
Squalidae	38
Echinorhinidae	39
Squatinidae	40
Pristiophoridae	41
Torpedinidae	42
Narcinidae	43
Rajidae	44
Rhinobatidae	45
Rhinidae	46
Rhynchobatidae	47
Pristidae	48
Platyrhinidae	49
Zanobatidae	50
Plesiobatidae	51
Urolophidae	52
Hexatrygonidae	53
Dasyatidae	54
Trygonidae	54
Potamotrygonidae	55
Gymnuridae	56
Urotrygonidae	57
Myliobatidae	58
Latimeriidae	59
Lepidosirenidae	61
Protopteridae	62
Polypteridae	63
Polyodontidae	64
Acipenseridae	65
Lepisosteidae	66
Amiidae	67
Elopidae	68
Megalopidae	69
Albulidae	70
Halosauridae	71
Notacanthidae	72
Synaphobranchidae	74
Heterenchelyidae	75
Myrocongridae	76
Muraenidae	77
Chlopsidae	78
Derichthyidae	79
Ophichthidae	80
Muraenesocidae	81
Nettastomatidae	82
Congridae	83
Moringuidae	84
Cyematidae	85
Monognathidae	86
Saccopharyngidae	87
Eurypharyngidae	88
Nemichthyidae	89
Serrivomeridae	90
Anguillidae	91
Hiodontidae	92
Pantodontidae	93
Osteoglossidae	94
Notopteridae	95
Mormyridae	96
Gymnarchidae	97
Denticipitidae	98
Pristigasteridae	99
Engraulidae	100
Chirocentridae	101
Clupeidae	102
Platytroctidae	103
Bathylaconidae	104
Alepocephalidae	105
Chanidae	106
Gonorynchidae	107
Kneriidae	108
Cyprinidae	109
Psilorhynchidae	110
Gyrinocheilidae	111
Catostomidae	112
Botiidae	113
Vaillantellidae	114
Cobitidae	115
Balitoridae	116
Homalopteridae	116
Gastromyzontidae	117
Nemacheilidae	118
Ellopostomatidae	119
Barbuccidae	120
Serpenticobitidae	121
Distichodontidae	122
Citharinidae	123
Crenuchidae	124
Alestidae	125
Hepsetidae	126
Erythrinidae	127
Parodontidae	128
Cynodontidae	129
Serrasalmidae	130
Hemiodontidae	131
Anostomidae	132
Chilodontidae	133
Curimatidae	134
Prochilodontidae	135
Lebiasinidae	136
Ctenoluciidae	137
Acestrorhynchidae	138
Characidae	139
Gasteropelecidae	140
Diplomystidae	141
Cetopsidae	142
Trichomycteridae	143
Nematogenyidae	144
Callichthyidae	145
Scoloplacidae	146
Astroblepidae	147
Loricariidae	148
Siluridae	149
Austroglanididae	150
Pangasiidae	151
Chacidae	152
Plotosidae	153
Ritidae	154
Ailiidae	155
Horabagridae	156
Bagridae	157
Akysidae	158
Amblycipitidae	159
Sisoridae	160
Erethistidae	161
Amphiliidae	162
Malapteruridae	163
Mochokidae	164
Schilbeidae	165
Auchenoglanididae	166
Claroteidae	167
Lacantuniidae	168
Clariidae	169
Heteropneustidae	170
Anchariidae	171
Ariidae	172
Aspredinidae	173
Doradidae	174
Auchenipteridae	175
Cranoglanididae	176
Ictaluridae	177
Heptapteridae	178
Pimelodidae	179
Pseudopimelodidae	180
Gymnotidae	181
Rhamphichthyidae	182
Hypopomidae	183
Sternopygidae	184
Apteronotidae	185
Lepidogalaxiidae	186
Salmonidae	187
Esocidae	188
Umbridae	189
Argentinidae	190
Opisthoproctidae	191
Microstomatidae	192
Bathylagidae	193
Galaxiidae	194
Osmeridae	195
Plecoglossidae	196
Salangidae	197
Prototroctidae	198
Retropinnidae	199
Gonostomatidae	200
Sternoptychidae	201
Phosichthyidae	202
Stomiidae	203
Ateleopodidae	204
Synodontidae	205
Aulopidae	206
Pseudotrichonotidae	207
Paraulopidae	208
Ipnopidae	209
Giganturidae	210
Bathysauroididae	211
Bathysauridae	212
Chlorophthalmidae	213
Notosudidae	214
Scopelarchidae	215
Evermannellidae	216
Sudidae	217
Paralepididae	218
Alepisauridae	219
Lestidiidae	220
Neoscopelidae	221
Myctophidae	222
Veliferidae	223
Lampridae	224
Lophotidae	225
Radiicephalidae	226
Trachipteridae	227
Regalecidae	228
Polymixiidae	229
Percopsidae	230
Aphredoderidae	231
Amblyopsidae	232
Cyttidae	233
Oreosomatidae	234
Parazenidae	235
Zeniontidae	236
Grammicolepididae	237
Zeidae	238
Stylephoridae	239
Melanonidae	240
Steindachneriidae	241
Bathygadidae	242
Macrouridae	243
Trachyrincidae	244
Euclichthyidae	245
Moridae	246
Macruronidae	247
Merlucciidae	248
Ranicipitidae	249
Bregmacerotidae	250
Muraenolepididae	251
Gadidae	252
Holocentridae	253
Anoplogastridae	254
Diretmidae	255
Anomalopidae	256
Monocentridae	257
Trachichthyidae	258
Gibberichthyidae	259
Stephanoberycidae	260
Hispidoberycidae	261
Rondeletiidae	262
Barbourisiidae	263
Cetomimidae	264
Melamphaidae	265
Berycidae	266
Carapidae	267
Ophidiidae	268
Bythitidae	269
Aphyonidae	270
Parabrotulidae	271
Batrachoididae	272
Kurtidae	273
Apogonidae	274
Rhyacichthyidae	275
Odontobutidae	276
