Order	OrderID
Myxiniformes	1
Petromyzontiformes	2
Chimaeriformes	3
Heterodontiformes	4
Orectolobiformes	5
Lamniformes	6
Carcharhiniformes	7
Hexanchiformes	8
Squaliformes	9
Echinorhiniformes	10
Squatiniformes	11
Pristiophoriformes	12
Torpediniformes	13
Rajiformes	14
Pristiformes	15
Pristiformes/Rhiniformes group	15
Myliobatiformes	16
Coelacanthiformes	17
Ceratodontiformes	18
Polypteriformes	19
Acipenseriformes	20
Lepisosteiformes	21
Amiiformes	22
Elopiformes	23
Albuliformes	24
Notacanthiformes	25
Anguilliformes	26
Hiodontiformes	27
Osteoglossiformes	28
Clupeiformes	29
Alepocephaliformes	30
Gonorynchiformes	31
Cypriniformes	32
Characiformes	33
Siluriformes	34
Gymnotiformes	35
Lepidogalaxiiformes	36
Salmoniformes	37
Esociformes	38
Argentiniformes	39
Galaxiiformes	40
Osmeriformes	41
Stomiiformes	42
Ateleopodiformes	43
Aulopiformes	44
Myctophiformes	45
Lampriformes	46
Polymixiiformes	47
Percopsiformes	48
Zeiformes	49
Stylephoriformes	50
Gadiformes	51
Holocentriformes	52
Trachichthyiformes	53
Beryciformes	54
Ophidiiformes	55
Batrachoidiformes	56
Kurtiformes	57
Gobiiformes	58
Mugiliformes	59
Cichliformes	60
Blenniiformes	61
Atheriniformes	63
Beloniformes	64
Cyprinodontiformes	65
Synbranchiformes	66
Carangiformes	67
Istiophoriformes	68
Anabantiformes	69
Pleuronectiformes	70
Syngnathiformes	71
Icosteiformes	72
Callionymiformes	73
Scombrolabraciformes	74
Scombriformes	75
Trachiniformes	76
Labriformes	77
Perciformes	78
Scorpaeniformes	79
Moroniformes	80
Acanthuriformes	81
Spariformes	82
Caproiformes	83
Lophiiformes	84
Tetraodontiformes	85
