Feature ID	Taxon
EU366544	d__Eukaryota; p__Chordata; c__Actinopteri; o__Notosudidae; f__Aulopiformes; g__Ahliesaurus; s__Ahliesaurus berryi
KF929574	d__Eukaryota; p__Chordata; c__Actinopteri; o__Notosudidae; f__Aulopiformes; g__Ahliesaurus; s__Ahliesaurus berryi
KY033540	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
KY033542	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
JF492807	d__88653; p__Eukaryota; c__Chordata; o__Alepisauridae; f__Aulopiformes; g__Actinopteri; s__Alepisaurus
LC021097	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
MG856694	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
AF092181	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
KF929581	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
MF041536	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
LC091795	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
KY033539	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
JF952665	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
MF041541	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
FJ918942	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
KY033541	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
KJ010550	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
KF929580	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
KR422479	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
MG856760	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
MG856510	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
LC091793	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
JQ353961	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
MG856709	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
EU366542	d__Eukaryota; p__Chordata; c__Actinopteri; o__Alepisauridae; f__Aulopiformes; g__Alepisaurus; s__Alepisaurus ferox
